item_number,total_650_to_800
000000-01831,13
000000-01958,0
000000-02188,0
000000-02459,0
000000-04721,0
000000-05870,0
000000-05931,4930
000000-06015,1176
000000-06025,79
000000-06176,79
000000-06713,0
000420-14681,0
000420-14682,4
000420-16017,0
000420-16716,6
000420-16717,2
000420-16722,1
000420-16727,0
000420-17634,0
000420-18208,0
000420-18210,0
000420-18233,0
000420-18235,0
000420-18237,0
000420-18257,0
000420-18263,0
000420-18270,0
000420-18271,0
000420-18304,0
000420-18531,0
000420-19286,0
000420-19872,5
000420-19873,2
000420-19898,0
000420-19899,0
000420-19900,0
000420-19907,0
000420-19908,0
000420-19909,0
000420-21179,4
001040-001-00440,64
001040-001-00540,0
001040-001-00640,0
001040-001-00740,0
001040-001-00840,0
001040-001-00940,0
001285-016-00590,0
001285-016-00790,10
001388-343-10570,0
001388-344-10570,0
001388-351-00100,1
001693-50000,712
001695-00005,0
002036-032-02250,0
002036-032-02700,0
002036-032-03000,0
002036-035-10001,0
002036-035-13001,0
002036-335-00001,0
002300-08020,0
002300-10020,4
002300-10030,0
002311-06015,2816
002311-06100,1244
002311-08020,16
002311-10020,0
002311-10030,0
002311-10050,0
002311-10180,0
002311-12030,8
002313-10040,24
002313-10050,0
002313-10080,0
002314-00860,0
002314-50004,0
002314-50108,0
002314-60660,0
002315-01408,440
002315-21207,0
002322-06020,96
002322-06021,280
002322-08021,6
002370-88006,2816
002370-88008,0
002370-88010,124
002370-88016,0
002370-89206,0
002370-89210,4
002371-56208,0
002371-57210,0
002372-00301,0
002372-00506,64
002372-00507,3912
002372-00508,0
002372-00510,1000
002372-50008,16
002373-00102,0
002412-00815,332
002412-00820,0
002412-01025,12
002412-01030,0
002412-01050,0
002413-08020,5032
002418-06016,0
002418-06020,0
002418-10025,0
002418-10100,0
002419-06020,4528
002419-06025,64
002419-08020,24
002419-10025,60
002419-10030,64
002420-08050,0
002437-10020,1000
002439-06012,160
002522-109-00001,16
002522-110-00001,16
002723-20038,0
002723-40621,0
002723-80416,313
002760-00008,3432
002763-00006,9224
002763-00010,1248
002763-00012,8
002763-00016,0
002763-00106,64
002763-00110,464
002763-00112,0
002763-00413,0
002763-00590,24
002763-00695,24
002763-20008,1600
002764-00008,0
002766-00006,0
002766-00008,0
002766-00010,8
002770-99010,72
003281-472-00100,24
003281-472-00300,16
003686-015-03000,0
003850-035-00360,0
003850-035-00400,0
003850-035-00450,4
003850-035-00500,0
003850-035-00550,1
003850-035-00600,0
003850-035-00650,2
003850-035-00700,0
003850-035-00750,0
003850-035-00800,0
003850-035-00850,0
003850-035-00900,0
003850-035-00950,0
003850-035-01000,0
003850-035-01050,0
003850-035-01100,0
003850-035-01150,0
003850-035-01200,0
003850-035-01250,0
003850-035-01300,0
003850-035-01350,4
003850-035-01400,2
003850-035-01450,0
003850-035-01500,6
003850-035-01550,0
003850-035-01600,0
003850-035-01650,0
003850-035-01700,0
003850-035-01750,0
003850-035-01900,0
003850-035-01950,0
003850-035-02000,0
003850-035-02150,0
003850-035-02250,0
003850-035-02300,0
003850-035-02400,0
003850-035-02450,0
003850-035-02500,0
003850-035-02550,0
003850-035-02600,0
003850-035-02650,0
003850-035-02700,0
003850-035-02750,0
003850-035-02850,0
003850-035-02900,0
003850-035-03000,5
003850-056-03000,0
004302-00203,20
004420-04001,7
004420-04002,2
004420-05001,2
004420-05002,2
004420-05051,4
004420-06001,0
004420-07001,0
004420-07002,0
004420-08003,0
004420-08004,0
004420-09001,0
004420-09002,0
004420-09033,0
004420-10001,8
004420-13001,0
004421-04033,4
004421-05033,5
004421-06033,2
004421-07033,0
004421-08033,2
004421-10033,0
004421-13033,1
004424-04001,6
004424-04033,0
004424-05001,6
004424-07001,0
004424-08001,4
004424-09001,0
004424-10001,0
004424-13001,0
004433-51033,6
004440-05041,0
004444-03400,56
004447-04031,0
004447-07031,0
004451-00311,0
004552-04000,64
004552-05000,0
004552-06000,38
004552-07000,0
004552-09000,0
004821-03109,0
005301-01713,0
005303-00502,0
005303-00521,0
005407-003-00001,0
005408-024-10750,0
005408-024-11500,0
005408-024-13000,0
005510-00333,0
005510-00356,0
006002-16041,0
006002-17014,0
006881-00008,0
006881-00127,488
006881-00155,0
006881-00156,0
006881-00157,7
006881-44211,48
006881-44215,52
006881-69027,24
006881-69054,286
007009-00009,0
007011-00057,0
007011-02101,40
007011-06100,0
007011-07102,40
007011-19100,0
007232-013-00520,6
007232-013-00620,0
007232-013-00820,0
007232-013-00920,0
007232-023-00520,0
007232-023-00820,0
007232-024-00520,0
007232-024-00620,0
007232-024-00720,0
007232-024-00820,0
007232-025-00720,0
007232-025-00820,0
007232-026-00720,0
007232-026-00820,0
007397-089-10004,40
007773-004-00001,4
007811-005-00460,0
007811-005-00560,0
007811-005-00660,3
007811-008-05505,0
007811-008-05506,0
008967-003-00725,372
008967-003-00825,58
008967-003-00925,78
008967-003-01025,0
008967-003-01225,8
008967-004-01710,0
008967-005-01810,0
008967-010-12070,0
008967-010-14070,1
008967-012-01121,0
008967-012-11121,0
008968-005-00001,0
008968-037-01072,0
008968-037-01082,0
008968-037-01102,0
008968-037-02062,0
008968-037-02102,0
008969-010-00001,2
008969-010-00002,2
008969-011-00720,0
008969-013-00520,117
008969-013-00620,9
008969-013-00720,8
008969-013-01020,0
008969-106-00520,0
008969-106-00620,4
008969-106-00820,0
008969-116-00520,66
008969-116-00620,1
008969-116-00720,2
009201-005-21111,0
009201-025-00100,0
009201-025-01100,0
009201-059-00620,0
009201-059-00820,0
009201-059-00920,0
009201-090-00560,0
009201-090-00860,0
009201-100-00001,0
009201-129-00001,0
009201-130-00001,0
009201-131-00001,0
009201-135-00001,0
009201-137-00001,0
009201-140-00001,0
009201-145-00001,0
009201-230-00001,0
009201-235-00001,0
009201-330-00001,0
009201-331-00560,0
009201-331-00860,0
009201-332-00001,0
009201-379-00001,0
009201-415-00001,0
009201-416-00025,0
009201-425-00560,0
009201-425-00960,0
009201-426-00620,0
009201-426-00720,0
009201-426-01020,0
009201-426-10620,0
009201-426-11020,0
009201-434-00001,0
009201-438-00001,0
009201-438-00002,0
009201-440-10021,0
009201-440-13021,0
009201-441-10021,0
009201-442-10011,0
009201-445-10011,0
009201-446-13011,0
009201-462-00130,0
009201-462-01130,0
009201-464-00001,0
009201-465-00001,0
009201-470-00001,0
009201-471-00001,0
009201-476-00001,0
009201-476-00002,0
009201-484-00001,0
009201-551-00001,0
009201-556-00001,0
009201-567-00001,0
009201-570-10100,0
009201-570-20130,0
009201-571-10001,0
009201-571-13001,0
009201-603-00001,0
009201-608-00300,0
009201-608-00500,0
009201-608-00750,0
009201-608-01500,0
009201-608-02990,0
009201-624-01035,0
009201-624-01065,0
009201-624-01125,0
009201-624-01135,0
009201-624-01137,0
009201-624-01155,0
009201-624-01157,0
009201-624-11035,0
009201-624-11037,0
009201-624-11057,0
009201-624-11065,0
009201-624-11125,0
009201-624-11135,0
009201-624-11137,0
009201-662-00620,0
009201-662-01020,0
009201-671-01530,0
009201-671-02040,0
009201-673-00001,0
009201-674-00001,0
009201-675-00001,0
009201-679-00620,0
009201-679-01020,0
009201-680-00620,0
009201-680-01020,0
009201-681-00001,0
009201-682-00020,0
009201-682-00030,0
009201-682-00040,0
009201-683-00620,0
009201-683-01020,0
009201-684-00620,0
009201-684-01020,0
009201-705-10100,0
009201-705-10200,0
009201-705-13200,0
009201-706-00560,0
009201-706-00960,0
009201-717-00620,0
009201-717-01020,0
009201-720-00020,0
009201-720-00030,0
009201-720-00040,0
009201-722-00020,0
009201-722-00030,0
009201-722-00040,0
009201-727-00001,0
009201-729-00001,0
009249-018-12052,0
009249-018-13052,96
009249-018-13082,0
009249-018-13092,0
009249-088-00001,70
009249-111-11062,0
009249-111-11072,0
009249-173-00001,4
009249-184-00520,40
009249-260-02923,26
009249-265-00001,12
009249-265-00002,12
009249-310-00660,0
009249-312-11020,0
009249-313-10520,0
009249-341-00620,0
009249-342-00520,0
009249-353-90062,0
009249-380-00001,160
009249-391-00520,0
009249-403-06052,20
009249-418-00520,0
009249-418-00620,0
009249-418-00720,8
009249-418-00820,0
009249-422-21004,0
009249-422-22004,108
009249-422-23004,270
009249-422-33004,0
009249-426-00015,0
009249-426-00040,0
009249-431-00052,6
009249-431-00082,0
009249-431-00092,0
009249-431-10052,6
009249-431-10082,0
009249-431-10092,0
009249-434-00520,64
009249-434-00620,0
009249-434-00720,38
009249-434-00820,0
009249-434-01020,0
009249-435-51295,48
009249-436-00520,6
009249-436-00620,0
009249-436-00720,28
009249-436-01020,0
009249-436-10520,58
009249-436-10620,0
009249-436-10720,10
009249-436-10820,0
009249-436-11020,0
009249-441-20052,0
009249-441-21052,0
009249-441-30052,0
009249-441-30092,0
009249-442-20052,0
009249-442-20062,2
009249-442-20082,0
009249-442-21052,0
009249-442-21062,0
009249-442-21082,0
009249-442-21102,0
009249-442-30052,0
009249-442-30062,0
009249-442-30082,0
009249-442-31052,2
009249-442-31062,0
009249-442-31082,0
009249-442-31092,0
009249-442-31102,0
009249-453-00001,302
009249-458-00060,0
009249-458-00090,16
009249-459-00002,0
009249-459-00003,0
009249-459-00004,0
009249-461-30460,0
009249-461-30560,0
009249-461-30660,0
009249-461-45460,16
009249-461-45560,0
009249-461-45660,0
009249-461-45960,0
009249-462-00002,32
009249-462-00003,0
009249-462-00004,0
009249-462-00007,0
009249-465-00544,0
009249-465-00559,8
009249-465-00574,370
009249-466-00054,70
009249-467-00055,140
009249-468-00520,24
009249-494-20004,30
009249-554-00001,102
009249-621-00650,12
009249-627-00001,0
009249-632-00001,0
009249-637-20030,0
009249-637-20060,20
009249-640-11049,0
009249-640-11069,16
009249-645-00045,0
009249-645-00060,2
009249-645-00090,0
009249-645-01045,0
009249-645-01060,0
009249-645-01090,2
009249-645-10045,4
009249-645-10060,2
009249-645-10090,2
009249-645-10130,0
009249-645-11045,0
009249-645-11060,1
009249-652-00045,0
009249-652-00060,6
009249-652-10045,0
009249-652-10060,0
009249-653-00030,0
009249-653-00045,0
009249-653-00060,0
009249-654-00045,0
009249-660-10150,0
009249-676-20612,0
009249-676-20614,0
009249-676-20615,0
009249-677-20612,0
009249-677-20614,0
009249-677-21013,0
009249-677-21014,0
009249-678-20622,3
009249-678-20623,0
009249-678-20624,0
009249-679-20322,0
009249-679-20622,18
009249-679-20623,0
009249-679-20624,0
009249-679-20627,0
009249-679-21023,0
009249-681-21014,0
009249-681-21025,0
009249-682-21014,0
009249-682-21025,0
009249-683-20612,0
009249-683-20625,0
009249-683-21012,0
009249-684-20612,0
009249-684-21012,3
009249-684-21013,0
009249-684-21024,0
009249-696-20633,0
009249-735-40624,8
009249-735-50625,0
009249-765-00250,0
009249-766-00001,732
009249-771-00010,0
009527-020-20715,0
009527-021-20715,0
009527-118-00001,0
009527-119-00001,1
009570-176-60448,0
009570-208-63000,0
009570-210-60000,0
009570-211-31500,0
009570-211-60150,0
009570-211-60750,0
009570-211-60800,0
009570-211-60950,0
009570-211-61000,0
009570-211-61050,0
009570-211-61100,0
009570-211-61200,0
009570-211-61250,0
009570-211-61400,1
009570-211-61500,0
009570-211-63000,0
009570-218-00001,2
009650-075-00001,0
009847-278-00001,2
010188-032-00001,0
010188-052-00620,0
010188-052-01020,0
010188-053-01020,0
010188-054-01020,0
010188-062-01020,0
010192-036-00150,17
010193-001-00610,186
010193-001-00710,40
010193-001-00810,0
010193-001-00910,0
010193-001-01010,4
010193-001-01110,0
010193-007-00525,0
010193-007-00600,0
010193-007-00675,0
010193-007-00750,0
010193-007-00825,0
010193-011-13082,0
010193-012-01310,40
010193-012-01710,0
010193-021-03082,0
010193-023-00001,34
010193-023-00002,0
010193-026-00610,22
010193-026-00710,8
010193-026-00810,0
010193-026-00910,0
010193-026-01110,0
010193-029-02038,0
010193-029-02045,4
010193-029-02053,8
010193-029-02060,0
010193-029-02068,0
010193-029-02075,0
010193-029-02083,0
010193-029-02090,0
010193-029-02098,0
010193-029-02105,0
010193-029-02113,0
010193-029-02120,0
010193-029-02128,0
010193-029-02193,0
010193-029-02243,0
010193-029-03038,0
010193-029-03045,8
010193-029-03053,25
010193-029-03060,0
010193-029-03068,0
010193-029-03075,0
010193-029-03083,0
010193-029-03120,0
010193-029-04038,0
010193-029-04075,0
010193-029-04083,0
010193-029-05038,2
010193-029-05053,0
010193-029-05068,0
010193-029-05075,0
010193-029-05083,0
010193-029-05098,2
010193-029-06083,0
010193-029-07060,0
010193-029-07075,0
010193-071-00001,0
010193-071-00002,0
010193-113-20035,0
010193-113-20038,0
010193-113-20041,0
010193-113-20044,0
010193-113-30032,0
010193-113-30041,0
010193-113-30044,0
010193-113-30047,0
010193-113-30050,0
010193-113-40035,0
010193-113-40041,0
010193-114-00280,20
010193-114-00530,0
010226-010-20040,18
010226-010-20040C9A,0
010226-010-20060,88
011488-058-00459,0
011488-058-00559,0
011488-058-00759,0
011488-058-00859,0
011488-110-22500,0
011488-110-27000,0
011488-110-30000,0
011488-115-10000,0
011488-115-10010,0
011488-115-10020,0
011488-115-13000,0
011488-115-13010,0
011488-115-13020,0
011488-117-00001,0
011488-119-00001,0
011488-159-05210,0
011488-159-06210,0
011488-159-08210,0
011488-159-08211,0
011488-159-09210,0
011488-173-00577,0
011488-179-10000,0
011488-179-13000,0
011488-183-10000,0
011488-183-13000,0
011507-023-01000,0
011507-023-01200,0
011507-023-01500,1
011507-450-30000,0
011507-450-60000,0
011507-657-10000,0
011507-657-20000,0
011507-657-40000,1
011508-045-10922,0
011508-045-11122,0
011508-045-11422,1
011565-555-00001,0
012100-760-11070,1
012201-001-01200,14
012201-001-01500,0
012201-084-11410,0
012201-084-30910,0
012201-084-61110,0
012608-028-06035,0
012608-066-10700,1
012608-087-00001,0
012608-087-00002,0
012632-002-01500,224
012632-002-03000,730
012632-002-04200,32
012632-005-00520,75
012632-005-00620,0
012632-005-00720,45
012632-005-00820,0
012632-005-01020,0
012632-006-00001,790
012632-007-00460,213
012632-007-00560,0
012632-007-00660,70
012632-007-00760,0
012632-007-00960,0
012632-015-17016,67
012632-015-17035,1702
012632-043-13000,16
012632-050-00520,8
012632-050-00620,10
012632-050-00820,0
012632-050-00920,4
012632-050-01020,0
012632-055-00520,40
012632-055-00620,24
012632-055-00720,4
012632-055-00820,0
012632-055-00920,4
012632-055-01020,0
012632-057-05204,28
012632-057-06204,0
012632-063-00520,4
012632-063-00620,0
012632-063-00720,0
012632-063-00820,0
012632-063-01020,0
012632-064-00520,8
012632-064-00620,5
012632-064-00720,1
012632-064-00820,0
012632-082-00520,0
012632-082-00820,0
012632-082-10520,4
012632-082-10620,5
012632-082-10720,2
012632-082-10820,0
012632-082-11020,0
012632-084-10520,1
012632-084-10620,2
012632-085-00520,9
012632-085-00620,5
012632-085-00720,0
012632-085-00820,0
012632-085-00920,0
012632-085-01020,0
012632-092-05204,14
012632-092-06204,0
012632-094-00075,0
012632-094-00150,396
012632-095-00001,60
012632-096-00140,0
